ID,Age,Experience,Income,Gender,ZIP Code,Family,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,marital,default,job,housing,contact,balance
26,55,28,21,Female,94720,1,2,0,0,1,0,0,1,married,no,entrepreneur,no,cellular,93
27,56,31,25,Female,94015,4,2,111,0,0,0,1,0,married,no,services,yes,cellular,-27
28,57,27,63,Female,90095,3,3,0,0,0,0,1,0,married,no,blue-collar,yes,cellular,-157
29,29,5,62,Female,90277,1,1,260,0,0,0,1,0,married,no,blue-collar,yes,cellular,49
30,44,18,43,Female,91320,2,1,163,0,1,0,0,0,married,no,technician,no,cellular,216
31,36,11,152,Female,95521,2,1,159,0,0,0,0,1,married,no,management,yes,cellular,1421
32,43,19,29,Female,94305,3,1,97,0,0,0,1,0,married,no,blue-collar,yes,cellular,222
33,40,16,83,Female,95064,4,3,0,0,0,0,0,0,married,no,entrepreneur,no,cellular,1728
34,46,20,158,Female,90064,1,1,0,0,0,0,1,1,divorced,no,management,yes,cellular,5253
35,56,30,48,Female,94539,1,3,0,0,0,0,1,1,single,no,management,yes,cellular,47
36,38,13,119,Female,94104,1,2,0,1,0,1,1,1,divorced,no,entrepreneur,no,cellular,2648
37,59,35,35,Female,93106,1,3,122,0,0,0,1,0,married,no,services,no,cellular,0
38,40,16,29,Female,94117,1,2,0,0,0,0,1,0,single,no,admin.,yes,cellular,-182
39,53,28,41,Female,94801,2,3,193,0,0,0,0,0,married,yes,technician,no,cellular,-313
40,30,6,18,Female,91330,3,3,0,0,0,0,0,0,married,no,blue-collar,yes,cellular,465
41,31,5,50,Female,94035,4,3,0,0,0,0,1,0,married,yes,blue-collar,yes,cellular,25
42,48,24,81,Female,92647,3,1,0,0,0,0,0,0,married,no,management,no,cellular,147
43,59,35,121,Female,94720,1,1,0,0,0,0,0,1,married,no,management,no,cellular,551
44,51,25,71,Female,95814,1,3,198,0,0,0,0,0,married,no,housemaid,no,cellular,58
45,42,18,141,Female,94114,3,3,0,1,1,1,1,0,married,no,services,yes,cellular,650
46,38,13,80,Female,94115,4,3,285,0,0,0,1,0,married,no,housemaid,yes,cellular,1618
47,57,32,84,Female,92672,3,3,0,0,1,0,0,0,married,no,retired,yes,cellular,-63
48,34,9,60,Female,94122,3,1,0,0,0,0,0,0,married,no,management,no,cellular,4850
49,32,7,132,Female,90019,4,2,412,1,0,0,1,0,married,no,blue-collar,yes,telephone,409
50,39,15,45,Female,95616,1,1,0,0,0,0,1,0,single,no,unemployed,yes,telephone,0
51,46,20,104,Female,94065,1,1,0,0,0,0,1,1,married,no,management,yes,cellular,1007
52,57,31,52,Female,94720,4,1,0,0,0,0,0,1,married,no,management,yes,cellular,312
53,39,14,43,Female,95014,3,2,153,0,0,0,1,0,divorced,no,blue-collar,yes,cellular,820
54,37,12,194,Female,91380,4,3,211,1,1,1,1,1,married,no,management,no,cellular,3369
55,56,26,81,Female,95747,2,3,0,0,0,0,0,1,married,no,services,yes,cellular,841
56,40,16,49,Female,92373,1,1,0,0,0,0,0,1,married,no,blue-collar,no,cellular,-1336
57,32,8,8,Female,92093,4,2,0,0,1,0,1,0,married,no,unknown,no,cellular,634
58,61,37,131,Female,94720,1,1,0,0,0,0,1,0,divorced,no,management,no,cellular,0
59,30,6,72,Female,94005,1,1,207,0,0,0,0,0,married,no,blue-collar,yes,cellular,9301
60,50,26,190,Female,90245,3,3,240,1,0,0,1,0,married,no,technician,no,telephone,486
61,29,5,44,Female,95819,1,3,0,0,0,0,1,0,married,yes,self-employed,no,cellular,34
62,41,17,139,Female,94022,2,1,0,0,0,0,1,0,single,no,technician,yes,cellular,506
63,55,30,29,Female,94005,3,2,0,0,1,1,1,0,married,no,management,yes,cellular,1444
64,56,31,131,Female,95616,2,3,0,1,0,0,0,0,single,no,services,yes,cellular,0
65,28,2,93,Female,94065,2,1,0,0,0,0,0,0,married,no,technician,yes,cellular,923
66,31,5,188,Female,91320,2,1,455,0,0,0,0,0,divorced,no,unemployed,yes,cellular,-44
67,49,24,39,Female,90404,3,2,0,0,1,0,1,0,divorced,no,services,no,cellular,413
68,47,21,125,Female,93407,1,1,112,0,1,0,0,0,single,no,admin.,yes,cellular,3531
69,42,18,22,Female,90089,1,1,0,0,0,0,0,0,divorced,no,management,yes,cellular,243
70,42,17,32,Female,94523,4,2,0,0,0,0,1,0,married,no,blue-collar,yes,cellular,484
71,47,23,105,Female,90024,2,1,0,0,0,0,0,0,divorced,no,blue-collar,yes,cellular,213
72,59,,131,Female,91360,1,1,0,0,0,0,1,1,single,no,services,no,cellular,170
73,62,,105,Female,95670,2,1,336,0,0,0,0,0,married,no,self-employed,yes,cellular,-236
74,53,,45,Female,95123,4,3,132,0,1,0,0,0,divorced,no,blue-collar,yes,cellular,1613
75,47,,60,Female,93407,3,1,0,0,0,0,1,1,married,no,entrepreneur,no,cellular,555
76,53,,20,Female,90045,4,1,0,0,0,0,1,0,married,no,admin.,yes,cellular,1914
77,42,,115,Female,91335,1,1,0,0,0,0,0,1,married,no,technician,no,cellular,2220
78,53,,69,Female,93907,4,2,0,0,0,0,1,0,single,no,admin.,yes,cellular,450
79,44,,130,Female,92007,1,1,0,0,0,0,0,1,married,no,management,yes,cellular,553
80,41,16,85,Female,94606,1,3,0,0,0,0,1,1,single,no,admin.,yes,cellular,92
81,28,3,135,Female,94611,2,1,0,0,0,0,0,1,divorced,no,blue-collar,no,cellular,0
82,31,7,135,Female,94901,4,2,0,1,0,1,1,1,divorced,no,blue-collar,no,cellular,1805
83,58,32,12,Female,91320,3,3,0,0,0,0,0,0,married,no,self-employed,no,cellular,1523
84,46,20,29,Female,92220,3,2,0,0,0,0,0,0,divorced,no,blue-collar,no,cellular,3407
85,54,30,133,Female,93305,2,3,0,1,0,0,0,0,married,no,blue-collar,yes,cellular,254
86,50,26,19,Female,94720,2,1,118,0,0,0,1,0,married,no,unemployed,no,cellular,11
87,60,36,41,Female,95134,4,1,174,0,0,0,1,1,single,no,management,yes,cellular,1609
88,47,22,40,Female,94612,3,2,0,0,0,0,1,0,married,no,management,yes,cellular,1447
89,41,16,82,Female,92507,1,3,0,0,0,0,1,0,divorced,no,technician,no,cellular,27
90,33,9,50,Female,94305,1,2,0,0,0,0,0,0,married,no,admin.,no,cellular,125
91,46,22,18,Female,91730,1,3,0,0,0,0,1,0,divorced,no,unknown,no,cellular,0
92,27,2,109,Female,94005,4,3,0,0,0,0,0,0,married,no,management,no,cellular,1797
93,40,16,42,Female,94501,4,2,126,0,0,0,0,0,married,no,blue-collar,no,telephone,2
94,48,22,78,Female,94305,3,1,0,0,0,0,1,0,married,no,unknown,no,telephone,2911
95,65,41,51,Female,94117,2,1,0,0,0,0,1,0,married,no,admin.,yes,cellular,1395
96,25,-1,113,Female,94303,4,3,0,0,0,0,0,1,divorced,no,technician,no,cellular,522
97,55,30,118,Female,90277,4,2,0,1,0,0,1,0,divorced,no,entrepreneur,no,cellular,776
98,35,10,29,Female,94105,4,3,0,0,0,0,1,0,married,no,blue-collar,no,cellular,0
99,43,19,34,Female,94305,3,2,0,0,0,0,0,0,married,no,technician,no,cellular,879
100,60,34,64,Female,94550,2,3,236,0,1,0,1,0,single,no,services,no,cellular,266
101,65,39,121,Female,92612,1,1,0,0,0,0,0,0,married,no,services,no,telephone,29
102,38,12,48,Female,95617,4,3,0,0,0,0,1,0,married,no,self-employed,no,cellular,1633
103,41,15,80,Female,95014,1,1,0,0,0,0,0,0,married,no,management,no,cellular,12245
104,54,28,161,Female,92121,1,1,0,0,0,0,1,0,married,no,management,yes,cellular,666
105,49,23,94,Female,92374,1,1,0,0,0,0,1,0,married,no,services,yes,cellular,-134
106,66,41,15,Female,91711,3,3,0,0,0,0,1,0,married,no,self-employed,yes,telephone,0
107,48,23,74,Female,94080,1,1,0,0,0,0,1,0,married,no,unknown,no,telephone,1247
108,61,36,30,Female,94608,3,2,0,0,0,0,0,0,married,no,unemployed,no,cellular,926
109,53,23,44,Female,93555,3,3,198,0,0,0,1,1,married,no,technician,no,cellular,-796
110,43,18,22,Female,95670,2,2,0,0,0,0,1,0,married,no,retired,no,cellular,493
111,56,32,38,Female,93311,4,1,166,0,0,0,1,1,married,no,services,yes,cellular,343
112,24,0,35,Female,94704,3,2,0,0,1,0,1,0,married,no,technician,no,cellular,268
113,43,17,69,Female,92717,4,1,0,0,0,0,1,1,divorced,no,management,no,telephone,92
114,42,18,43,Female,92037,1,1,136,0,0,0,0,0,single,no,management,no,cellular,0
115,33,7,32,Female,95136,1,3,166,0,0,0,1,0,married,no,management,yes,cellular,6573
116,43,17,49,Female,94542,1,1,0,0,0,0,1,0,married,no,services,yes,cellular,182
117,41,14,9,Female,91330,3,2,0,0,0,0,0,0,married,no,admin.,no,telephone,1143
118,62,38,45,Female,94143,4,2,0,0,0,0,1,0,married,no,blue-collar,no,cellular,4044
119,40,15,82,Female,91775,3,1,309,0,0,0,0,0,single,no,blue-collar,no,cellular,77
120,58,34,92,Female,92703,2,1,103,0,0,0,0,0,married,no,technician,no,cellular,1327
121,39,14,39,Female,92354,3,3,0,0,0,0,1,0,married,no,admin.,no,cellular,488
122,65,40,81,Female,92024,3,2,0,0,0,0,1,0,married,no,technician,no,cellular,0
123,54,29,35,Female,92831,1,2,0,0,0,0,1,0,divorced,no,retired,no,cellular,23
124,58,33,61,Female,92833,2,3,193,0,0,0,1,0,married,no,retired,no,telephone,808
125,41,16,73,Female,92647,3,1,0,0,0,0,1,0,married,no,services,yes,cellular,-236
126,32,7,112,Female,94304,1,1,366,0,0,0,0,0,married,no,services,no,cellular,-274
127,54,29,12,Female,90057,2,3,0,0,0,0,1,0,single,no,management,no,cellular,12
128,52,26,38,Female,91711,3,3,0,0,0,0,1,0,single,no,admin.,no,cellular,-1
129,58,32,73,Female,94523,2,2,0,0,0,0,1,1,married,no,blue-collar,no,cellular,505
130,37,13,84,Female,92130,1,2,0,0,1,0,0,0,divorced,no,services,no,cellular,88
131,39,15,78,Female,92121,4,1,118,0,0,0,1,0,single,no,blue-collar,no,cellular,777
132,60,35,80,Female,91301,3,1,0,0,0,0,1,0,married,no,blue-collar,no,cellular,0
133,31,5,115,Female,92096,2,1,101,0,0,0,1,1,single,no,blue-collar,yes,cellular,366
134,34,8,82,Female,92646,1,2,251,0,0,0,1,0,married,no,management,no,cellular,460
135,38,14,74,Female,92182,2,1,0,0,1,0,1,0,divorced,no,blue-collar,no,cellular,3427
136,41,16,70,Female,92131,3,3,0,0,0,0,0,1,single,no,housemaid,no,cellular,332
137,28,4,81,Female,94801,3,1,276,0,0,0,1,0,married,no,technician,no,cellular,967
138,58,34,149,Female,93720,4,2,0,1,0,1,1,1,married,no,management,no,cellular,21
139,31,1,51,Female,90840,2,3,0,0,0,0,0,0,single,no,self-employed,no,cellular,2559
140,30,4,39,Female,90245,3,2,0,0,0,0,1,0,married,no,admin.,no,cellular,1604
141,53,29,98,Female,95035,3,2,0,0,0,0,0,0,single,yes,blue-collar,no,cellular,-2
142,58,33,45,Female,93010,4,1,0,0,0,0,1,1,single,no,management,no,cellular,0
143,59,32,49,Female,95035,4,2,0,0,0,0,1,0,married,no,blue-collar,yes,telephone,505
144,49,25,128,Female,95054,2,1,0,0,0,0,0,0,married,no,services,no,cellular,0
145,59,34,42,Female,94928,3,1,0,0,1,1,0,1,single,no,services,no,cellular,2110
146,59,35,18,Female,93305,1,3,0,0,0,0,1,0,married,no,blue-collar,yes,telephone,0
147,51,25,31,Female,90245,2,3,161,0,0,0,1,1,single,no,blue-collar,no,cellular,1
148,35,11,58,Female,95831,3,1,149,0,0,0,1,1,married,no,technician,no,cellular,0
149,33,9,48,Female,91770,1,3,0,0,0,0,0,1,married,no,blue-collar,no,cellular,57
150,25,1,54,Female,94117,4,1,0,0,0,0,1,1,married,no,housemaid,no,cellular,398
151,49,23,70,Female,92093,2,2,0,0,0,0,0,0,single,no,services,yes,cellular,-1139
152,59,35,124,Female,90007,1,1,0,0,0,0,0,1,married,no,blue-collar,no,cellular,537
153,46,19,84,Female,94102,1,2,0,0,0,0,1,1,married,no,technician,no,cellular,351
154,50,25,83,Female,94542,4,3,188,0,0,0,1,0,single,no,management,no,cellular,0
155,52,28,163,Female,91423,2,1,116,0,0,0,1,0,single,no,management,no,cellular,-57
156,48,22,42,Female,93955,3,2,0,0,0,0,0,0,divorced,no,housemaid,no,cellular,3068
157,46,22,118,Female,94107,2,1,0,0,0,1,1,1,married,no,admin.,no,cellular,2319
158,26,0,132,Female,92834,3,3,0,1,0,0,0,1,single,no,technician,no,cellular,437
159,57,32,24,Female,93117,1,1,0,0,0,0,1,1,single,no,technician,no,cellular,879
160,60,36,22,Female,94551,2,1,0,0,1,1,1,1,single,no,technician,no,cellular,232
161,54,29,58,Female,92612,4,3,0,0,0,0,0,0,single,no,admin.,no,cellular,-117
162,24,0,60,Female,94596,4,1,0,0,0,0,1,0,married,no,retired,yes,cellular,3003
163,26,0,15,Female,92131,4,1,0,0,0,0,0,1,single,no,admin.,no,cellular,0
164,41,17,83,Female,94025,4,1,0,0,0,0,1,1,married,no,blue-collar,no,cellular,-167
165,32,6,79,Female,94720,2,3,0,0,0,0,1,1,single,no,technician,no,cellular,909
166,61,35,41,Female,94545,4,2,0,0,1,0,1,0,single,no,blue-collar,no,cellular,428
167,29,0,134,Female,95819,4,3,0,1,0,0,0,0,married,no,management,yes,cellular,54
168,61,35,80,Female,95053,2,1,0,0,0,0,1,0,divorced,no,admin.,no,cellular,-176
169,38,12,52,Female,90036,1,1,0,0,0,0,0,0,divorced,no,admin.,no,cellular,564
170,28,4,70,Female,91125,4,1,0,0,0,0,1,0,married,no,services,no,cellular,221
171,53,27,92,Female,95120,2,1,0,0,1,0,0,0,divorced,no,services,yes,cellular,35
172,27,1,43,Female,94706,1,1,0,0,0,0,1,0,married,no,admin.,no,cellular,8
173,25,1,21,Female,95827,3,2,0,0,0,0,0,0,single,no,services,no,cellular,149
174,33,9,23,Female,94305,3,3,0,0,0,0,1,1,single,no,technician,no,cellular,475
175,50,26,13,Female,91320,4,1,0,0,0,0,1,0,single,no,blue-collar,no,telephone,29
176,27,1,112,Female,90503,4,3,0,0,0,0,0,1,divorced,no,housemaid,no,cellular,977
177,27,1,138,Female,90250,2,1,0,0,0,0,1,0,single,no,blue-collar,no,cellular,161
178,52,28,11,Female,95817,3,1,0,0,1,0,0,0,divorced,no,management,no,cellular,492
179,38,13,171,Female,92717,2,1,0,0,0,0,1,0,married,no,admin.,no,cellular,0
180,58,34,42,Female,90095,4,1,0,0,0,0,1,1,married,no,admin.,yes,cellular,40
181,42,17,168,Female,95503,2,2,0,1,0,0,1,0,married,no,blue-collar,no,telephone,13718
182,45,20,85,Female,91711,4,2,0,0,1,0,1,0,married,no,blue-collar,yes,cellular,205
183,52,25,44,Female,93111,3,2,135,0,0,0,1,0,single,no,blue-collar,no,cellular,123
184,29,3,65,Female,94132,4,2,244,0,0,0,0,0,married,no,management,no,cellular,0
185,53,29,24,Female,95818,4,1,0,0,0,0,1,1,single,no,unknown,no,cellular,0
186,62,37,11,Female,91942,1,1,0,0,0,0,1,0,married,no,blue-collar,no,cellular,2146
187,51,27,38,Female,90401,2,3,164,0,0,0,1,0,married,no,blue-collar,no,cellular,63
188,36,12,10,Female,93524,4,2,81,0,0,0,0,0,married,no,technician,no,cellular,-428
189,24,0,135,Female,95133,1,1,0,0,0,0,1,0,married,no,management,no,cellular,0
190,29,3,148,Female,92173,3,1,0,1,0,0,1,0,divorced,yes,technician,no,cellular,-1014
191,52,26,63,Female,92717,2,2,0,0,1,0,1,0,married,no,technician,yes,cellular,-228
192,39,14,115,Female,91320,1,3,0,0,0,0,1,0,single,no,blue-collar,no,cellular,-42
193,48,23,45,Female,95616,1,1,0,0,0,0,1,1,single,no,blue-collar,no,cellular,218
194,46,21,159,Female,94305,3,3,315,1,0,0,1,0,married,no,blue-collar,no,cellular,282
195,64,40,169,Female,91320,2,1,122,0,0,0,1,0,married,no,services,no,cellular,123
196,55,29,112,Female,94043,2,1,0,0,0,0,1,0,married,no,blue-collar,no,cellular,14
197,60,36,93,Female,92521,1,1,0,0,0,0,1,0,married,no,blue-collar,no,cellular,247
198,51,25,29,Female,90404,1,3,140,0,0,0,0,0,married,yes,housemaid,no,telephone,-6
199,50,23,85,Female,92122,1,2,0,0,0,0,1,0,divorced,no,housemaid,no,cellular,216
200,48,24,21,Female,93118,4,1,0,0,0,0,1,1,married,no,technician,no,cellular,-28
201,53,29,144,Female,92697,2,1,0,0,0,0,1,0,married,no,blue-collar,yes,cellular,326
202,34,10,13,Female,94577,4,1,95,0,1,0,1,0,single,no,admin.,no,cellular,119
203,48,24,165,Female,93407,1,1,0,0,0,0,0,1,married,no,blue-collar,no,telephone,69
204,55,31,9,Female,91345,4,1,89,0,0,0,1,0,married,no,blue-collar,no,cellular,707
205,27,3,59,Female,94123,4,1,90,0,1,0,1,0,married,no,housemaid,no,cellular,-227
206,36,11,158,Female,92152,1,3,0,1,0,1,1,1,single,yes,blue-collar,yes,cellular,1085
207,32,6,29,Female,91355,1,3,0,0,0,0,1,1,divorced,no,blue-collar,no,cellular,368
208,35,9,20,Female,94609,2,3,0,0,0,0,1,1,married,yes,entrepreneur,no,cellular,25
209,30,3,68,Female,94306,4,2,0,0,0,0,1,0,divorced,no,management,yes,cellular,-132
210,58,34,65,Female,95747,4,1,0,0,0,0,1,0,divorced,no,blue-collar,no,cellular,1265
211,56,31,61,Female,96150,2,2,105,0,0,0,0,0,married,no,management,no,cellular,700
212,38,12,91,Female,95616,4,2,100,0,0,0,0,1,single,no,blue-collar,no,cellular,82
213,49,25,31,Female,91355,1,1,0,0,1,0,1,0,married,no,housemaid,no,cellular,1529
214,34,10,71,Female,94115,4,2,0,0,0,0,0,0,single,no,management,yes,cellular,623
215,40,16,73,Female,94110,4,1,0,0,0,0,1,1,married,no,technician,yes,cellular,-241
216,64,39,172,Female,94707,4,1,282,1,0,1,1,1,divorced,no,technician,yes,cellular,278
217,51,26,20,Female,92131,2,1,0,0,0,0,0,0,married,no,blue-collar,yes,cellular,1834
218,44,18,55,Female,94720,1,1,0,0,0,0,0,0,single,no,technician,no,cellular,-398
219,46,22,69,Female,91604,2,1,209,0,0,0,0,0,divorced,no,technician,no,cellular,0
220,57,33,155,Female,91326,1,1,0,0,0,0,1,0,married,no,services,no,cellular,-597
221,54,28,94,Female,90291,1,2,0,0,0,0,0,0,single,no,blue-collar,no,cellular,16
222,38,14,92,Female,95818,2,1,249,0,0,0,1,1,married,no,admin.,no,cellular,10
223,27,3,125,Female,95521,2,1,0,0,0,0,0,0,single,no,admin.,no,cellular,-79
224,39,14,74,Female,94305,3,1,0,0,0,0,0,0,single,no,management,no,cellular,338
225,44,20,72,Female,92807,3,3,0,0,0,0,1,0,married,no,management,no,cellular,-50
226,56,30,61,Female,94707,1,3,0,0,0,0,1,1,single,no,technician,yes,cellular,-239
227,32,6,25,Female,92130,2,1,0,0,0,0,0,1,married,no,housemaid,no,telephone,333
228,45,19,83,Female,95051,2,2,0,0,0,0,1,0,married,no,services,yes,cellular,867
229,26,2,104,Female,94306,3,1,0,0,0,0,0,0,married,no,retired,no,cellular,-37
230,55,25,41,Female,95014,3,3,0,0,0,0,1,0,divorced,no,technician,yes,cellular,0
231,52,27,58,Female,94305,4,3,91,0,0,0,0,0,married,no,management,no,cellular,1392
232,39,13,93,Female,94720,1,3,0,0,0,0,0,1,married,no,blue-collar,no,cellular,-196
233,24,-1,39,Female,94085,2,2,0,0,0,0,0,0,single,no,admin.,yes,cellular,0
234,47,23,148,Female,94551,2,1,0,0,0,1,1,1,single,no,management,no,cellular,269
235,47,22,53,Female,92677,4,3,98,0,1,1,0,1,single,no,blue-collar,yes,cellular,913
236,48,24,71,Female,93117,2,1,145,0,0,0,0,1,single,no,admin.,no,cellular,-267
237,47,22,92,Female,94720,1,2,0,0,0,0,1,0,married,no,services,yes,cellular,193
238,35,10,61,Female,94304,4,3,0,0,0,0,1,0,single,no,services,yes,cellular,78
239,46,19,38,Female,94122,3,2,135,0,0,0,0,0,married,no,unemployed,yes,cellular,85
240,62,37,58,Female,91320,4,1,0,0,0,0,1,0,single,no,services,no,cellular,111
241,26,1,80,Female,95616,1,2,150,0,0,0,0,0,married,no,blue-collar,no,telephone,226
242,38,8,71,Female,94720,4,3,0,0,0,0,1,0,married,yes,blue-collar,no,cellular,-354
243,43,18,89,Female,93407,3,3,0,0,0,0,1,1,single,no,admin.,no,cellular,212
244,62,38,83,Female,92521,1,3,0,0,0,0,1,0,married,no,blue-collar,no,cellular,9444
245,57,32,28,Female,95831,3,1,0,0,0,0,1,1,single,no,management,no,cellular,14
246,28,3,52,Female,94112,4,2,0,0,0,0,0,0,divorced,no,retired,no,cellular,468
247,51,26,70,Female,90089,1,1,169,0,0,0,0,0,single,yes,blue-collar,no,cellular,-15
248,48,22,71,Female,91711,1,3,0,0,0,0,0,1,married,no,management,no,cellular,1530
249,41,16,75,Female,94005,1,3,280,0,0,0,0,0,married,no,admin.,yes,cellular,1133
250,65,39,170,Female,90095,3,3,99,1,0,1,1,0,married,no,technician,no,cellular,680
251,41,17,78,Female,94025,4,1,78,0,0,0,1,0,single,no,services,yes,cellular,329
252,35,11,25,Female,92614,2,2,0,0,0,0,0,0,married,no,technician,yes,cellular,473
253,38,14,60,Female,94025,2,3,0,0,0,0,1,1,single,yes,blue-collar,no,cellular,-8019
183,52,25,44,Female,93111,3,2,135,0,0,0,1,0,single,no,blue-collar,no,cellular,123
255,55,29,99,Female,92121,2,1,264,0,0,0,1,1,married,no,admin.,yes,cellular,383
256,26,1,55,Female,90089,3,3,113,0,0,0,0,1,divorced,no,admin.,no,cellular,1
257,30,6,29,Female,94305,3,2,117,0,0,0,0,0,married,no,services,no,cellular,27
258,54,28,170,Female,92182,2,2,325,1,0,0,1,0,single,no,technician,yes,cellular,49
259,65,40,53,Female,91711,3,1,0,0,0,0,0,1,married,no,unemployed,no,cellular,1023
260,47,21,138,Female,94583,1,1,0,0,0,0,0,0,single,no,admin.,no,cellular,1507
261,65,41,134,Female,91942,3,3,121,1,0,0,1,0,married,no,blue-collar,no,telephone,3969
262,66,40,42,Female,92103,2,3,138,0,0,0,0,1,single,no,services,no,cellular,198
263,26,0,99,Female,92697,4,3,0,0,0,0,0,1,married,no,housemaid,no,cellular,0
264,66,41,18,Female,92691,3,1,0,0,0,0,0,1,married,no,blue-collar,no,cellular,55
265,35,9,24,Female,95747,4,1,0,0,0,0,1,0,married,no,entrepreneur,yes,cellular,124
266,56,30,55,Female,94107,1,1,77,0,0,0,1,0,single,no,blue-collar,no,cellular,419
267,51,27,58,Female,92407,1,1,0,0,0,0,0,1,single,no,blue-collar,yes,cellular,-72
268,42,16,111,Female,93106,2,3,251,1,0,0,1,0,married,no,technician,no,cellular,0
269,49,23,33,Female,90245,1,3,0,0,0,1,1,1,married,no,blue-collar,no,cellular,3372
270,27,1,74,Female,92121,4,2,112,0,0,0,1,1,married,no,blue-collar,no,telephone,58932
271,45,19,38,Female,90840,2,1,0,0,0,0,0,0,divorced,no,technician,yes,cellular,-354
272,49,23,23,Female,94305,4,3,98,0,1,0,0,0,married,no,management,no,cellular,-513
273,63,38,61,Female,94720,2,1,0,0,0,0,1,0,divorced,no,blue-collar,no,cellular,916
274,47,22,81,Female,90504,1,1,138,0,0,0,0,0,single,no,services,no,cellular,402
275,64,39,129,Female,94002,1,1,0,0,0,0,1,0,single,no,blue-collar,no,cellular,22
276,43,13,33,Female,95039,1,3,0,0,0,0,0,0,married,no,blue-collar,no,cellular,433
277,60,36,63,Female,94063,4,1,0,0,0,0,1,0,single,no,management,no,cellular,1326
278,40,14,70,Female,94923,4,2,0,0,0,0,1,0,married,no,admin.,yes,cellular,147
279,29,3,45,Female,95023,4,1,158,0,0,0,1,1,married,no,management,yes,cellular,76
280,41,16,65,Female,90095,3,3,0,0,0,0,1,0,single,no,management,yes,cellular,1598
281,30,5,74,Female,95616,4,1,0,0,1,0,0,1,divorced,no,blue-collar,no,cellular,497
282,49,24,50,Female,94706,4,3,0,0,1,0,0,0,single,no,admin.,no,cellular,145
283,30,5,22,Female,90058,4,3,109,0,0,0,1,0,married,no,blue-collar,no,cellular,0
284,29,2,30,Female,92126,4,3,0,0,0,0,0,0,single,no,admin.,no,cellular,383
285,50,26,21,Female,91125,4,1,0,0,0,0,1,0,married,no,management,no,cellular,1361
286,39,14,155,Female,94577,2,1,0,0,0,0,1,0,single,yes,unemployed,no,telephone,-1270
287,33,8,64,Female,92121,4,3,164,0,0,0,1,0,married,no,blue-collar,yes,cellular,-305
288,57,31,65,Female,94118,4,3,0,0,0,0,0,1,married,no,technician,yes,cellular,2284
289,34,9,71,Female,91711,4,3,0,0,0,0,1,0,married,no,services,no,cellular,0
290,61,36,40,Female,90029,3,2,0,0,1,0,1,0,married,yes,blue-collar,yes,cellular,-594
291,44,19,69,Female,92806,3,3,0,0,0,0,1,0,married,no,blue-collar,no,cellular,18
292,40,13,69,Female,94305,3,2,0,0,0,0,0,0,married,no,technician,no,telephone,1717
293,51,25,45,Female,94806,3,2,131,0,0,0,1,0,divorced,no,self-employed,no,cellular,387
294,37,12,62,Female,92110,3,2,0,0,0,0,0,1,married,no,management,no,cellular,96
